,State,Year,Total_Count,Count_1,Count_2,Count_3,Count_4
191,MT,2016,62,0.0,37.0,13.0,12.0
192,MT,2017,133,0.0,69.0,29.0,35.0
193,MT,2018,152,0.0,65.0,66.0,21.0
194,MT,2019,157,0.0,92.0,27.0,38.0
195,MT,2020,2450,0.0,2432.0,6.0,12.0
196,MT,2021,9316,0.0,9199.0,2.0,115.0
197,MT,2022,14072,0.0,13851.0,0.0,221.0
198,MT,2023,2154,0.0,2149.0,0.0,5.0
199,NC,2016,6147,0.0,5634.0,243.0,270.0
200,NC,2017,34108,6.0,29677.0,3887.0,538.0
201,NC,2018,56262,9.0,47258.0,8236.0,759.0
202,NC,2019,45999,15.0,38733.0,6480.0,771.0
203,NC,2020,48633,1806.0,40599.0,4822.0,1406.0
204,NC,2021,65750,10.0,59879.0,3463.0,2398.0
205,NC,2022,72167,3293.0,62953.0,2459.0,3462.0
206,NC,2023,9133,0.0,8333.0,0.0,800.0
207,ND,2016,3,0.0,0.0,0.0,3.0
208,ND,2017,4,0.0,1.0,3.0,0.0
209,ND,2018,19,0.0,16.0,3.0,0.0
210,ND,2019,17,0.0,4.0,5.0,8.0
211,ND,2020,399,0.0,398.0,1.0,0.0
212,ND,2021,1529,0.0,1527.0,0.0,2.0
213,ND,2022,1288,1.0,1281.0,2.0,4.0
214,ND,2023,228,0.0,228.0,0.0,0.0
215,NE,2016,5811,3.0,5071.0,694.0,43.0
216,NE,2017,6203,4.0,5185.0,945.0,69.0
217,NE,2018,5850,3.0,4781.0,1011.0,55.0
218,NE,2019,4645,2.0,3835.0,720.0,88.0
219,NE,2020,2493,26.0,1996.0,391.0,80.0
220,NE,2021,2301,1.0,1883.0,254.0,163.0
221,NE,2022,1478,54.0,1211.0,136.0,77.0
222,NE,2023,89,0.0,85.0,0.0,4.0
223,NH,2016,315,0.0,226.0,35.0,54.0
224,NH,2017,2036,0.0,1725.0,246.0,65.0
225,NH,2018,2511,1.0,2004.0,490.0,16.0
226,NH,2019,2219,1.0,1726.0,461.0,31.0
227,NH,2020,1496,2.0,1090.0,373.0,31.0
228,NH,2021,1128,0.0,794.0,296.0,38.0
229,NH,2022,508,78.0,253.0,158.0,19.0
230,NJ,2016,7953,2.0,5226.0,2135.0,590.0
231,NJ,2017,14110,5.0,9425.0,3927.0,753.0
232,NJ,2018,14990,9.0,9838.0,4446.0,697.0
233,NJ,2019,13018,5.0,8874.0,3424.0,715.0
234,NJ,2020,18590,75.0,14064.0,3207.0,1244.0
235,NJ,2021,25093,2.0,21760.0,2570.0,761.0
236,NJ,2022,42244,101.0,39526.0,1609.0,1008.0
237,NJ,2023,4721,0.0,4602.0,0.0,119.0
238,NM,2016,153,0.0,93.0,25.0,35.0
239,NM,2017,1140,0.0,656.0,394.0,90.0
240,NM,2018,2112,1.0,1239.0,795.0,77.0
241,NM,2019,1616,0.0,787.0,704.0,125.0
242,NM,2020,1436,49.0,994.0,310.0,83.0
243,NM,2021,2344,2.0,1903.0,365.0,74.0
244,NM,2022,1413,101.0,978.0,256.0,78.0
245,NM,2023,111,0.0,100.0,0.0,11.0
246,NV,2016,1357,0.0,1161.0,102.0,94.0
247,NV,2017,2504,0.0,1523.0,822.0,159.0
248,NV,2018,2663,0.0,1404.0,1172.0,87.0
249,NV,2019,3001,1.0,1964.0,946.0,90.0
250,NV,2020,2442,3.0,2096.0,305.0,38.0
251,NV,2021,4253,0.0,3889.0,254.0,110.0
252,NV,2022,4286,124.0,3978.0,89.0,95.0
253,NV,2023,1159,0.0,1112.0,0.0,47.0
254,NY,2016,20097,3.0,11439.0,7648.0,1007.0
255,NY,2017,36986,8.0,21362.0,14106.0,1510.0
256,NY,2018,38050,6.0,21281.0,15368.0,1395.0
257,NY,2019,42967,5.0,28560.0,12890.0,1512.0
258,NY,2020,48805,713.0,35615.0,10373.0,2104.0
259,NY,2021,55470,5.0,47327.0,6595.0,1543.0
260,NY,2022,94765,507.0,89705.0,3082.0,1471.0
261,NY,2023,10820,0.0,10613.0,0.0,207.0
262,OH,2016,11331,6.0,7159.0,2933.0,1233.0
263,OH,2017,13656,3.0,8034.0,4072.0,1547.0
264,OH,2018,17659,6.0,10298.0,5725.0,1630.0
265,OH,2019,13235,1.0,8344.0,4328.0,562.0
266,OH,2020,17240,515.0,12210.0,3800.0,715.0
267,OH,2021,14230,1.0,8378.0,5718.0,133.0
268,OH,2022,25746,1174.0,20079.0,4013.0,480.0
269,OH,2023,5018,0.0,4871.0,0.0,147.0
270,OK,2016,570,0.0,453.0,31.0,86.0
271,OK,2017,9758,7.0,8623.0,971.0,157.0
272,OK,2018,20488,4.0,18573.0,1814.0,97.0
273,OK,2019,20483,4.0,18546.0,1862.0,71.0
274,OK,2020,13590,59.0,11914.0,1580.0,37.0
275,OK,2021,9194,5.0,8718.0,456.0,15.0
276,OK,2022,8969,1224.0,7638.0,86.0,21.0
277,OK,2023,595,0.0,594.0,0.0,1.0
278,OR,2016,1026,0.0,579.0,190.0,257.0
279,OR,2017,6175,0.0,4292.0,1331.0,552.0
280,OR,2018,22520,0.0,19168.0,2746.0,606.0
281,OR,2019,41198,2.0,37574.0,2656.0,966.0
282,OR,2020,34452,1269.0,30162.0,1560.0,1461.0
283,OR,2021,38231,4.0,36590.0,878.0,759.0
284,OR,2022,30127,48.0,28605.0,369.0,1105.0
285,OR,2023,5931,0.0,5743.0,0.0,188.0
286,PA,2016,21232,12.0,17523.0,2534.0,1163.0
287,PA,2017,26905,12.0,21213.0,4268.0,1412.0
288,PA,2018,22230,7.0,15005.0,6030.0,1188.0
289,PA,2019,20100,6.0,14102.0,5034.0,958.0
290,PA,2020,43189,183.0,34872.0,6109.0,2025.0
291,PA,2021,71520,2.0,63056.0,4330.0,4132.0
292,PA,2022,80839,1509.0,72296.0,2726.0,4308.0
293,PA,2023,10605,0.0,9924.0,0.0,681.0
294,RI,2016,1409,0.0,785.0,615.0,9.0
295,RI,2017,2865,0.0,1300.0,1545.0,20.0
296,RI,2018,3259,0.0,1396.0,1821.0,42.0
297,RI,2019,2976,0.0,1504.0,1441.0,31.0
298,RI,2020,2387,71.0,1302.0,1000.0,14.0
299,RI,2021,2425,0.0,1588.0,834.0,3.0
300,RI,2022,1601,118.0,1011.0,472.0,0.0
301,RI,2023,49,0.0,49.0,0.0,0.0
302,SC,2016,3015,1.0,2338.0,571.0,105.0
303,SC,2017,28333,3.0,21165.0,6986.0,179.0
304,SC,2018,56358,10.0,42969.0,13150.0,229.0
305,SC,2019,58997,26.0,47881.0,10660.0,430.0
306,SC,2020,62789,85.0,56767.0,5271.0,666.0
307,SC,2021,79651,7.0,75189.0,3634.0,821.0
308,SC,2022,84880,6043.0,76056.0,2198.0,583.0
309,SC,2023,8534,0.0,8452.0,0.0,82.0
310,SD,2016,8,0.0,1.0,3.0,4.0
311,SD,2017,12,0.0,6.0,2.0,4.0
312,SD,2018,13,0.0,8.0,1.0,4.0
313,SD,2019,27,0.0,2.0,2.0,23.0
314,SD,2020,160,0.0,154.0,0.0,6.0
315,SD,2021,32,0.0,27.0,0.0,5.0
316,SD,2022,37,0.0,23.0,0.0,14.0
