,State,City,Year,Count,Mean_Severity,High Severity Count
177,AL,Billingsley,2019,5,2.0,0.0
178,AL,Billingsley,2020,6,2.0,0.0
179,AL,Billingsley,2021,6,2.0,0.0
180,AL,Billingsley,2022,12,2.5,0.0
181,AL,Birmingham,2016,28,2.357142857142857,6.0
182,AL,Birmingham,2017,912,2.68640350877193,578.0
183,AL,Birmingham,2018,3254,2.5820528580208975,1842.0
184,AL,Birmingham,2019,2736,2.4630847953216373,1226.0
185,AL,Birmingham,2020,2916,2.325102880658436,916.0
186,AL,Birmingham,2021,3686,2.276451437873033,892.0
187,AL,Birmingham,2022,3182,2.1627906976744184,501.0
188,AL,Birmingham,2023,221,2.0452488687782804,0.0
189,AL,Blountsville,2017,9,2.4444444444444446,0.0
190,AL,Blountsville,2018,71,2.0140845070422535,1.0
191,AL,Blountsville,2019,79,2.0126582278481013,1.0
192,AL,Blountsville,2020,96,2.0,0.0
193,AL,Blountsville,2021,77,2.051948051948052,2.0
194,AL,Blountsville,2022,61,1.8524590163934427,1.0
195,AL,Blountsville,2023,5,2.0,0.0
196,AL,Boaz,2018,7,2.142857142857143,1.0
197,AL,Boaz,2019,17,2.0588235294117645,1.0
198,AL,Boaz,2020,9,2.0,0.0
199,AL,Boaz,2021,12,2.0,0.0
200,AL,Boaz,2022,9,2.2222222222222223,0.0
201,AL,Boligee,2017,3,3.0,3.0
202,AL,Boligee,2018,6,2.5,3.0
203,AL,Boligee,2019,20,2.7,12.0
204,AL,Boligee,2020,6,2.5,3.0
205,AL,Boligee,2021,21,2.142857142857143,1.0
206,AL,Boligee,2022,31,2.161290322580645,1.0
207,AL,Bon Secour,2018,1,2.0,0.0
208,AL,Brantley,2019,9,2.111111111111111,1.0
209,AL,Brantley,2020,3,2.0,0.0
210,AL,Brantley,2021,20,2.0,0.0
211,AL,Brantley,2022,9,1.8888888888888888,0.0
212,AL,Bremen,2017,1,4.0,0.0
213,AL,Bremen,2018,4,2.5,0.0
214,AL,Bremen,2019,9,2.0,0.0
215,AL,Bremen,2020,19,2.1052631578947367,0.0
216,AL,Bremen,2021,9,2.2222222222222223,0.0
217,AL,Bremen,2022,4,2.0,0.0
