Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2023-01-05 18:39:48,35.807339,-90.714329,Jonesboro,AR,48.0,44.0,10.0,5.0,0.0,Fair
2,2023-01-13 15:52:01,34.595543,-92.558735,Benton,AR,47.0,42.0,10.0,12.0,0.0,Fair
2,2023-01-25 06:36:30,34.032957,-94.191165,Lockesburg,AR,42.0,73.0,10.0,10.0,0.0,Cloudy
2,2023-01-25 09:10:55,36.1094,-94.170085,Fayetteville,AR,34.0,92.0,1.0,10.0,0.0,Fog
2,2023-01-24 06:57:30,34.615662,-92.504398,Bryant,AR,36.0,86.0,10.0,0.0,0.0,Fair
2,2023-01-17 07:48:04,35.016243,-92.070779,Cabot,AR,56.0,99.0,2.0,0.0,0.0,Fog
2,2023-01-17 15:00:42,35.122258,-92.496756,Conway,AR,69.0,58.0,10.0,6.0,0.0,Fair
2,2023-01-25 06:17:34,33.727012,-93.469566,Emmet,AR,36.0,93.0,10.0,5.0,0.0,Cloudy
2,2023-01-13 11:55:19,35.36738300000001,-93.535862,Scranton,AR,42.0,55.0,10.0,7.0,0.0,Fair
2,2023-01-13 07:32:34,35.194136,-92.391413,Greenbrier,AR,33.0,67.0,10.0,12.0,0.0,Cloudy
2,2023-01-02 17:35:30,33.655235,-93.657252,Hope,AR,70.0,84.0,10.0,13.0,0.11,Mostly Cloudy
2,2023-01-24 18:48:23,36.0609591,-94.19824719,Fayetteville,AR,34.0,92.0,1.0,5.0,0.07,Light Snow
2,2023-01-02 19:52:34,36.402113,-94.190841,Bentonville,AR,62.0,93.0,10.0,3.0,0.0,Light Rain with Thunder
2,2023-01-30 23:41:46,35.33487439,-94.39366221,Fort Smith,AR,28.0,85.0,8.0,6.0,0.0,Cloudy
4,2023-01-31 02:32:00,35.133199,-90.46706,Heth,AR,28.0,88.0,10.0,18.0,0.0,Wintry Mix
2,2023-01-31 09:28:30,35.623721999999994,-90.103111,Osceola,AR,24.0,84.0,10.0,17.0,0.0,Cloudy
2,2023-01-25 06:55:00,35.961969,-94.195527,Fayetteville,AR,34.0,89.0,10.0,8.0,0.0,Cloudy
2,2023-01-05 00:32:37,34.540963,-92.63257,Benton,AR,41.0,67.0,10.0,6.0,0.0,Fair
4,2023-01-25 07:40:00,35.212017,-94.408965,Hackett,AR,35.0,92.0,9.0,9.0,0.0,Heavy Snow
2,2023-01-01 08:57:26,34.843072,-92.494959,Roland,AR,52.0,99.0,7.0,0.0,0.0,Fair
4,2023-01-23 11:40:15,35.99536,-94.009014,Elkins,AR,41.0,65.0,10.0,0.0,0.0,Fair
2,2023-01-30 21:27:24,35.642555,-91.23894,Newport,AR,29.0,92.0,4.0,15.0,0.03,Light Snow
2,2023-01-30 09:54:30,35.992634,-94.196706,Fayetteville,AR,25.0,88.0,10.0,6.0,0.0,Cloudy
2,2023-01-28 23:41:50,34.790593,-92.076644,Scott,AR,53.0,89.0,2.0,3.0,0.14,Heavy Rain
2,2023-01-31 06:28:42,35.185136,-92.771376,Morrilton,AR,26.0,84.0,10.0,5.0,0.0,Cloudy
2,2023-01-24 16:46:53,35.2868,-92.911433,Atkins,AR,34.0,87.0,1.0,9.0,0.04,Light Snow
2,2023-01-13 16:51:31,34.57798,-92.583495,Benton,AR,43.0,47.0,10.0,13.0,0.0,Fair
4,2023-01-30 06:22:30,35.406554,-94.366291,Fort Smith,AR,29.0,92.0,6.0,7.0,0.0,Cloudy
2,2023-01-24 16:21:50,35.516006,-92.232473,Higden,AR,32.0,100.0,0.25,0.0,0.0,Snow
2,2023-01-28 22:23:30,35.1567328,-90.12392878,West Memphis,AR,51.0,71.0,10.0,17.0,0.05,Cloudy
2,2023-01-31 09:41:30,35.596529,-90.122801,Osceola,AR,24.0,84.0,10.0,17.0,0.0,Cloudy
2,2023-01-30 20:03:07,35.894974,-90.794532,Bono,AR,28.0,85.0,2.0,12.0,0.0,Wintry Mix
2,2023-01-31 05:52:30,35.332031,-90.264685,Turrell,AR,26.0,88.0,6.0,16.0,0.0,Cloudy
2,2023-01-23 06:31:57,34.913244,-91.874113,Lonoke,AR,29.0,99.0,10.0,0.0,0.0,Fair
2,2023-01-31 08:38:53,35.716167,-90.5791,Bay,AR,23.0,85.0,10.0,10.0,0.0,Cloudy
2,2023-01-02 07:01:27,36.387252,-94.182772,Bentonville,AR,52.0,97.0,3.0,7.0,0.0,Fair
2,2023-01-15 06:01:10,34.608559,-92.525614,Bryant,AR,32.0,82.0,9.0,0.0,0.0,Partly Cloudy
2,2023-01-31 07:56:22,35.781811,-91.036561,Newport,AR,23.0,92.0,10.0,13.0,0.0,Cloudy
2,2023-01-30 16:00:58,35.247722,-92.872101,Atkins,AR,35.0,78.0,10.0,6.0,0.0,Cloudy
2,2023-01-24 16:45:10,36.090378,-94.192537,Fayetteville,AR,34.0,92.0,0.25,3.0,0.11,Heavy Snow
2,2023-01-30 07:21:12,35.33264600000001,-94.394309,Fort Smith,AR,29.0,85.0,10.0,7.0,0.0,Cloudy
2,2023-01-24 17:26:55,35.903823,-92.625189,Marshall,AR,32.0,100.0,0.5,0.0,0.0,Light Snow
2,2023-01-24 14:47:00,35.060725,-92.19939,Vilonia,AR,40.0,99.0,10.0,9.0,0.04,Light Rain
2,2023-01-19 16:15:31,35.13705611,-90.09266496,West Memphis,AR,50.0,50.0,10.0,9.0,0.0,Fair
2,2023-01-04 08:07:31,34.780732,-92.265957,North Little Rock,AR,39.0,84.0,10.0,6.0,0.0,Fair
